EmployeeNumber,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Gender,HourlyRate,JobLevel,JobRole,MaritalStatus,MonthlyIncome,MonthlyRate,OverTime,PercentSalaryHike,PerformanceRating,StandardHours,StockOptionLevel,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
578,54,Travel_Rarely,548,Research & Development,8,Female,42,2,Technician,Single,3780,23428,No,11,3,80,0,1,0,0,0
579,34,Travel_Rarely,1303,Research & Development,2,Male,62,1,Research Scientist,Divorced,2768,8416,No,12,3,80,1,7,3,5,7
580,46,Travel_Rarely,1125,Sales,10,Female,94,3,Sales Executive,Married,9071,11563,Yes,19,3,80,1,3,2,1,2
581,31,Travel_Rarely,1274,Research & Development,9,Male,33,3,Marketing Director,Divorced,10648,14394,No,25,4,80,1,13,8,0,8
582,33,Travel_Rarely,1277,Research & Development,15,Male,56,3,Manager,Married,13610,24619,Yes,12,3,80,0,7,6,7,7
584,33,Travel_Rarely,587,Research & Development,10,Male,38,1,Technician,Divorced,3408,6705,No,13,3,80,3,4,3,1,3
585,30,Travel_Rarely,413,Sales,7,Male,57,1,Sales Representative,Single,2983,18398,No,14,3,80,0,3,2,1,2
586,35,Travel_Rarely,1276,Research & Development,16,Male,72,3,Brand Representative,Married,7632,14295,Yes,12,3,80,0,8,7,0,0
587,31,Travel_Frequently,534,Research & Development,20,Male,66,3,Brand Representative,Married,9824,22908,No,12,3,80,0,1,0,0,0
590,34,Travel_Frequently,988,Human Resources,23,Female,43,3,Human Resources,Divorced,9950,11533,Yes,15,3,80,3,3,2,0,2
591,42,Travel_Frequently,1474,Research & Development,5,Male,97,1,Technician,Married,2093,9260,No,17,3,80,1,2,2,2,0
592,36,Non-Travel,635,Sales,10,Male,32,3,Sales Executive,Single,9980,15318,No,14,3,80,0,10,3,9,7
593,22,Travel_Frequently,1368,Research & Development,4,Male,99,1,Technician,Single,3894,9129,No,16,3,80,0,2,2,1,2
595,48,Travel_Rarely,163,Sales,2,Female,37,2,Sales Executive,Married,4051,19658,No,14,3,80,1,9,7,6,7
597,55,Travel_Rarely,1117,Sales,18,Female,83,4,Manager,Single,16835,9873,No,23,4,80,0,10,9,7,7
599,41,Non-Travel,267,Sales,10,Male,56,2,Sales Executive,Single,6230,13430,No,14,3,80,0,14,3,1,10
600,35,Travel_Rarely,619,Sales,1,Male,85,2,Sales Executive,Married,4717,18659,No,11,3,80,0,11,9,6,9
601,40,Travel_Rarely,302,Research & Development,6,Female,75,4,Marketing Director,Single,13237,20364,No,15,3,80,0,20,6,5,13
602,39,Travel_Frequently,443,Research & Development,8,Female,48,1,Technician,Married,3755,17872,No,11,3,80,1,8,3,0,7
604,31,Travel_Rarely,828,Sales,2,Male,77,2,Sales Executive,Single,6582,8346,Yes,13,3,80,0,6,5,0,5
605,42,Travel_Rarely,319,Research & Development,24,Male,56,3,Marketing Director,Married,7406,6950,Yes,21,4,80,1,10,9,5,8
606,45,Travel_Rarely,561,Sales,2,Male,61,2,Sales Executive,Married,4805,16177,No,19,3,80,1,8,7,3,7
608,26,Travel_Frequently,426,Human Resources,17,Female,58,1,Human Resources,Divorced,2741,22808,Yes,11,3,80,1,7,7,1,0
611,29,Travel_Rarely,232,Research & Development,19,Male,34,2,Marketing Director,Divorced,4262,22645,No,12,3,80,2,3,2,1,2
612,33,Travel_Rarely,922,Research & Development,1,Female,95,4,Research Director,Divorced,16184,22578,No,19,3,80,1,6,1,0,5
613,31,Travel_Rarely,688,Sales,7,Male,44,3,Manager,Divorced,11557,25291,No,21,4,80,1,5,4,0,1
614,18,Travel_Frequently,1306,Sales,5,Male,69,1,Sales Representative,Single,1878,8059,Yes,14,3,80,0,0,0,0,0
615,40,Non-Travel,1094,Sales,28,Male,58,3,Sales Executive,Divorced,10932,11373,No,15,3,80,1,1,0,0,1
616,41,Non-Travel,509,Research & Development,2,Female,62,2,Brand Representative,Single,6811,2112,Yes,17,3,80,0,8,7,0,7
618,26,Travel_Rarely,775,Sales,29,Male,45,2,Sales Executive,Divorced,4306,4267,No,12,3,80,2,0,0,0,0
620,35,Travel_Rarely,195,Sales,1,Female,80,2,Sales Executive,Single,4859,6698,No,16,3,80,0,5,4,0,3
621,34,Travel_Rarely,258,Sales,21,Male,74,2,Sales Executive,Single,5337,19921,No,12,3,80,0,10,7,5,7
622,26,Travel_Rarely,471,Research & Development,24,Male,66,1,Technician,Single,2340,23213,Yes,18,3,80,0,1,0,0,0
623,37,Travel_Rarely,799,Research & Development,1,Female,59,3,Marketing Director,Single,7491,23848,No,17,3,80,0,6,5,1,2
624,46,Travel_Frequently,1034,Research & Development,18,Female,86,3,Brand Representative,Married,10527,8984,No,11,3,80,0,2,2,1,2
625,41,Travel_Rarely,1276,Sales,2,Female,91,4,Manager,Married,16595,5626,No,16,3,80,1,18,16,11,8
626,37,Non-Travel,142,Sales,9,Male,69,3,Sales Executive,Divorced,8834,24666,No,13,3,80,1,9,5,7,7
630,52,Travel_Rarely,956,Research & Development,6,Male,78,2,Research Scientist,Divorced,5577,22087,Yes,12,3,80,2,10,9,6,9
631,32,Non-Travel,1474,Sales,11,Male,60,2,Sales Executive,Married,4707,23914,No,12,3,80,0,4,2,1,2
632,24,Travel_Frequently,535,Sales,24,Male,38,1,Sales Representative,Married,2400,5530,No,13,3,80,2,2,2,2,1
634,38,Travel_Rarely,1495,Research & Development,10,Female,76,2,Brand Representative,Married,9824,22174,No,19,3,80,1,1,0,0,0
635,37,Travel_Rarely,446,Research & Development,1,Female,65,2,Marketing Director,Married,6447,15701,No,12,3,80,1,6,5,4,3
638,49,Travel_Rarely,1245,Research & Development,18,Male,58,5,Research Director,Divorced,19502,2125,Yes,17,3,80,1,31,9,0,9
639,24,Travel_Rarely,691,Research & Development,23,Male,89,1,Research Scientist,Married,2725,21630,Yes,11,3,80,2,6,5,1,4
641,26,Travel_Rarely,703,Sales,28,Male,66,2,Sales Executive,Married,6272,7428,No,20,4,80,2,5,3,1,4
643,24,Travel_Rarely,823,Research & Development,17,Male,94,1,Technician,Married,2127,9100,No,21,4,80,1,1,0,0,0
644,50,Travel_Frequently,1246,Human Resources,3,Male,99,5,Manager,Married,18200,7999,No,11,3,80,1,32,5,10,7
645,25,Travel_Rarely,622,Sales,13,Male,40,1,Sales Representative,Married,2096,26376,No,11,3,80,0,7,4,0,6
647,24,Travel_Frequently,1287,Research & Development,7,Female,55,1,Technician,Married,2886,14168,Yes,16,3,80,1,6,3,1,2
648,30,Travel_Frequently,448,Sales,12,Male,74,1,Sales Representative,Married,2033,14470,No,18,3,80,1,1,0,0,0
649,34,Travel_Rarely,254,Research & Development,1,Male,83,1,Research Scientist,Married,3622,22794,Yes,13,3,80,1,6,5,1,3
650,31,Travel_Rarely,1365,Sales,13,Male,46,2,Sales Executive,Divorced,4233,11512,No,17,3,80,0,3,1,1,2
652,35,Travel_Rarely,538,Research & Development,25,Male,54,2,Technician,Single,3681,14004,No,14,3,80,0,3,2,0,2
653,31,Travel_Rarely,525,Sales,6,Male,66,2,Sales Executive,Divorced,5460,6219,No,22,4,80,2,7,7,5,7
655,27,Travel_Rarely,798,Research & Development,6,Female,66,1,Research Scientist,Divorced,2187,5013,No,12,3,80,2,5,3,0,3
656,37,Travel_Rarely,558,Sales,2,Male,75,2,Sales Executive,Married,9602,3010,Yes,11,3,80,1,3,0,1,0
657,20,Travel_Rarely,959,Research & Development,1,Female,83,1,Research Scientist,Single,2836,11757,No,13,3,80,0,1,0,0,0
659,42,Travel_Rarely,622,Research & Development,2,Female,81,2,Brand Representative,Married,4089,5718,No,13,3,80,2,10,2,2,2
661,43,Travel_Rarely,782,Research & Development,6,Male,50,4,Research Director,Divorced,16627,2671,Yes,14,3,80,1,1,0,0,0
662,38,Travel_Rarely,362,Research & Development,1,Female,43,1,Research Scientist,Single,2619,14561,No,17,3,80,0,0,0,0,0
663,43,Travel_Frequently,1001,Research & Development,9,Male,72,2,Technician,Divorced,5679,19627,Yes,13,3,80,1,8,7,4,7
664,48,Travel_Rarely,1236,Research & Development,1,Female,40,4,Manager,Married,15402,17997,No,11,3,80,1,3,2,0,2
665,44,Travel_Rarely,1112,Human Resources,1,Female,50,2,Human Resources,Single,5985,26894,No,11,3,80,0,2,2,0,2
666,34,Travel_Rarely,204,Sales,14,Female,31,1,Sales Representative,Divorced,2579,2912,Yes,18,3,80,2,8,2,0,6
667,27,Travel_Rarely,1420,Sales,2,Male,85,1,Sales Representative,Divorced,3041,16346,No,11,3,80,1,4,3,0,2
669,21,Travel_Rarely,1343,Sales,22,Male,49,1,Sales Representative,Single,3447,24444,No,11,3,80,0,3,2,1,2
671,44,Travel_Rarely,1315,Research & Development,3,Male,35,5,Manager,Married,19513,9358,Yes,12,3,80,1,2,2,0,1
675,22,Travel_Rarely,604,Research & Development,6,Male,69,1,Research Scientist,Married,2773,12145,No,20,4,80,0,2,2,2,2
677,33,Travel_Rarely,1216,Sales,8,Male,39,2,Sales Executive,Divorced,7104,20431,No,12,3,80,0,5,0,1,2
679,32,Travel_Rarely,646,Research & Development,9,Female,92,2,Research Scientist,Married,6322,18089,Yes,12,3,80,1,6,4,0,5
680,30,Travel_Frequently,160,Research & Development,3,Female,71,1,Research Scientist,Divorced,2083,22653,No,20,4,80,1,1,0,0,0
682,53,Travel_Rarely,238,Sales,1,Female,34,2,Sales Executive,Single,8381,7507,No,20,4,80,0,14,7,8,10
683,34,Travel_Rarely,1397,Research & Development,1,Male,42,1,Research Scientist,Married,2691,7660,No,12,3,80,1,10,9,8,8
684,45,Travel_Frequently,306,Sales,26,Female,100,2,Sales Executive,Married,4286,5630,No,14,3,80,2,1,1,0,0
686,26,Travel_Rarely,991,Research & Development,6,Female,71,1,Technician,Married,2659,17759,Yes,13,3,80,1,3,2,0,2
689,37,Travel_Rarely,482,Research & Development,3,Male,36,3,Marketing Director,Married,9434,9606,No,15,3,80,1,10,7,7,8
690,29,Travel_Rarely,1176,Sales,3,Female,62,2,Sales Executive,Married,5561,3487,No,14,3,80,1,6,0,1,2
691,35,Travel_Rarely,1017,Research & Development,6,Male,82,2,Research Scientist,Single,6646,19368,No,13,3,80,0,17,11,11,8
692,33,Travel_Frequently,1296,Research & Development,6,Male,30,2,Brand Representative,Divorced,7725,5335,No,23,4,80,1,13,11,4,7
698,54,Travel_Rarely,397,Human Resources,19,Male,88,3,Human Resources,Married,10725,6729,No,15,3,80,1,9,7,7,1
699,36,Travel_Rarely,913,Research & Development,9,Male,48,2,Marketing Director,Divorced,8847,13934,Yes,11,3,80,1,3,2,0,2
700,27,Travel_Rarely,1115,Research & Development,3,Male,54,1,Research Scientist,Single,2045,15174,No,13,3,80,0,4,2,1,1
701,20,Travel_Rarely,1362,Research & Development,10,Male,32,1,Research Scientist,Single,1009,26999,Yes,11,3,80,0,1,0,1,1
702,33,Travel_Frequently,1076,Research & Development,3,Male,70,1,Research Scientist,Single,3348,3164,Yes,11,3,80,0,10,8,9,7
704,35,Non-Travel,727,Research & Development,3,Male,41,1,Technician,Married,1281,16900,No,18,3,80,2,1,0,0,0
705,23,Travel_Rarely,885,Research & Development,4,Male,58,1,Research Scientist,Married,2819,8544,No,16,3,80,1,3,2,0,2
707,25,Travel_Rarely,810,Sales,8,Male,57,2,Sales Executive,Married,4851,15678,No,22,4,80,1,3,2,1,2
709,38,Travel_Rarely,243,Sales,7,Female,46,2,Sales Executive,Single,4028,7791,No,20,4,80,0,7,7,0,5
710,29,Travel_Frequently,806,Research & Development,1,Male,76,1,Research Scientist,Divorced,2720,18959,No,18,3,80,1,10,7,2,8
712,48,Travel_Rarely,817,Sales,2,Male,56,2,Sales Executive,Married,8120,18597,No,12,3,80,0,2,2,2,2
714,27,Travel_Frequently,1410,Sales,3,Female,71,2,Sales Executive,Divorced,4647,16673,Yes,20,4,80,2,6,5,0,4
715,37,Travel_Rarely,1225,Research & Development,10,Male,80,1,Research Scientist,Single,4680,15232,No,17,3,80,0,1,0,0,0
716,50,Travel_Rarely,1207,Research & Development,28,Male,74,1,Technician,Married,3221,3297,Yes,11,3,80,3,20,8,3,8
717,34,Travel_Rarely,1442,Research & Development,9,Female,46,3,Brand Representative,Single,8621,17654,No,14,3,80,0,8,7,7,7
720,24,Travel_Rarely,693,Sales,3,Female,65,2,Sales Executive,Single,4577,24785,No,14,3,80,0,2,2,2,0
721,39,Travel_Rarely,408,Research & Development,2,Female,80,2,Brand Representative,Single,4553,20978,No,11,3,80,0,20,7,11,10
722,32,Travel_Rarely,929,Sales,10,Male,55,2,Sales Executive,Single,5396,21703,No,12,3,80,0,10,7,0,8
723,50,Travel_Frequently,562,Sales,8,Male,50,2,Sales Executive,Married,6796,23452,Yes,14,3,80,1,4,3,1,3
724,38,Travel_Rarely,827,Research & Development,1,Female,33,2,Brand Representative,Single,7625,19383,No,13,3,80,0,9,7,1,8
725,27,Travel_Rarely,608,Research & Development,1,Female,68,3,Marketing Director,Married,7412,6009,No,11,3,80,0,9,7,0,7
727,32,Travel_Rarely,1018,Research & Development,3,Female,39,3,Research Director,Single,11159,19373,No,15,3,80,0,7,7,7,7
728,47,Travel_Rarely,703,Sales,14,Male,42,2,Sales Executive,Single,4960,11825,No,12,3,80,0,7,7,1,7
729,40,Travel_Frequently,580,Sales,5,Male,48,3,Sales Executive,Married,10475,23772,Yes,21,4,80,1,18,13,1,12
730,53,Travel_Rarely,970,Research & Development,7,Male,59,4,Research Director,Married,14814,13514,No,19,3,80,0,5,1,1,3
731,41,Travel_Rarely,427,Human Resources,10,Male,73,5,Manager,Divorced,19141,8861,No,15,3,80,3,21,6,12,6
732,60,Travel_Rarely,1179,Sales,16,Male,84,2,Sales Executive,Single,5405,11924,No,14,3,80,0,2,2,2,2
733,27,Travel_Frequently,294,Research & Development,10,Male,32,3,Marketing Director,Divorced,8793,4809,No,21,4,80,2,9,7,1,7
734,41,Travel_Rarely,314,Human Resources,1,Male,59,5,Manager,Married,19189,19562,No,12,3,80,1,22,7,2,10
738,50,Travel_Rarely,316,Sales,8,Male,54,1,Sales Representative,Married,3875,9983,No,15,3,80,1,2,2,2,2
741,28,Travel_Rarely,654,Research & Development,1,Female,67,1,Research Scientist,Single,2216,3872,Yes,13,3,80,0,7,7,3,7
742,36,Non-Travel,427,Research & Development,8,Female,63,3,Research Director,Married,11713,20335,No,14,3,80,1,8,7,0,5
743,38,Travel_Rarely,168,Research & Development,1,Female,81,3,Marketing Director,Single,7861,15397,Yes,14,3,80,0,1,0,0,0
744,44,Non-Travel,381,Research & Development,24,Male,49,1,Technician,Single,3708,2104,No,14,3,80,0,5,2,1,4
746,47,Travel_Frequently,217,Sales,3,Female,49,4,Sales Executive,Divorced,13770,10225,Yes,12,3,80,2,22,2,11,13
747,30,Travel_Rarely,501,Sales,27,Male,99,2,Sales Executive,Divorced,5304,25275,No,23,4,80,1,8,7,7,7
749,29,Travel_Rarely,1396,Sales,10,Male,99,1,Sales Representative,Single,2642,2755,No,11,3,80,0,1,0,0,0
752,42,Travel_Frequently,933,Research & Development,19,Male,57,1,Research Scientist,Divorced,2759,20366,Yes,12,3,80,0,2,2,2,2
754,43,Travel_Frequently,775,Sales,15,Male,47,2,Sales Executive,Married,6804,23683,No,18,3,80,1,2,2,2,2
757,34,Travel_Rarely,970,Research & Development,8,Female,96,2,Brand Representative,Single,6142,7360,No,11,3,80,0,5,1,4,3
758,23,Travel_Rarely,650,Research & Development,9,Male,37,1,Technician,Married,2500,4344,No,14,3,80,1,4,3,0,2
760,39,Travel_Rarely,141,Human Resources,3,Female,44,2,Human Resources,Married,6389,18767,No,15,3,80,1,8,3,3,6
762,56,Travel_Rarely,832,Research & Development,9,Male,81,4,Brand Representative,Married,11103,20420,No,11,3,80,0,10,7,1,1
763,40,Travel_Rarely,804,Research & Development,2,Female,86,1,Research Scientist,Single,2342,22929,Yes,20,4,80,0,4,2,2,3
764,27,Travel_Rarely,975,Research & Development,7,Female,55,2,Brand Representative,Single,6811,23398,No,19,3,80,0,7,6,0,7
766,29,Travel_Rarely,1090,Sales,10,Male,83,1,Sales Representative,Divorced,2297,17967,No,14,3,80,2,2,2,2,2
769,53,Travel_Rarely,346,Research & Development,6,Male,86,2,Technician,Single,2450,10919,No,17,3,80,0,2,2,2,2
771,35,Non-Travel,1225,Research & Development,2,Female,61,2,Brand Representative,Divorced,5093,4761,No,11,3,80,1,1,0,0,0
772,32,Travel_Frequently,430,Research & Development,24,Male,80,2,Technician,Married,5309,21146,No,15,3,80,2,10,8,4,7
773,38,Travel_Rarely,268,Research & Development,2,Male,92,1,Research Scientist,Married,3057,20471,Yes,13,3,80,1,1,0,0,1
775,34,Travel_Rarely,167,Research & Development,8,Female,32,2,Marketing Director,Divorced,5121,4187,No,14,3,80,1,0,0,0,0
776,52,Travel_Rarely,621,Sales,3,Male,31,4,Manager,Married,16856,10084,No,11,3,80,0,34,6,1,16
780,33,Travel_Rarely,527,Research & Development,1,Male,63,1,Research Scientist,Single,2686,5207,Yes,13,3,80,0,10,9,7,8
781,25,Travel_Rarely,883,Sales,26,Female,32,2,Sales Executive,Single,6180,22807,No,23,4,80,0,6,5,1,4
783,45,Travel_Rarely,954,Sales,2,Male,46,2,Sales Representative,Single,6632,12388,No,13,3,80,0,8,7,3,1
784,23,Travel_Rarely,310,Research & Development,10,Male,79,1,Research Scientist,Single,3505,19630,No,18,3,80,0,2,2,0,2
785,47,Travel_Frequently,719,Sales,27,Female,77,2,Sales Executive,Single,6397,10339,Yes,12,3,80,0,5,4,1,3
786,34,Travel_Rarely,304,Sales,2,Male,60,2,Sales Executive,Single,6274,18686,No,22,4,80,0,6,5,1,4
787,55,Travel_Rarely,725,Research & Development,2,Male,78,5,Manager,Married,19859,21199,Yes,13,3,80,1,5,2,1,4
789,36,Non-Travel,1434,Sales,8,Male,76,3,Sales Executive,Single,7587,14229,No,15,3,80,0,10,7,0,9
791,52,Non-Travel,715,Research & Development,19,Male,41,1,Research Scientist,Married,4258,26589,No,18,3,80,1,4,3,1,2
792,26,Travel_Frequently,575,Research & Development,1,Female,71,1,Technician,Divorced,4364,5288,No,14,3,80,1,2,2,2,0
793,29,Travel_Rarely,657,Research & Development,27,Female,66,2,Brand Representative,Married,4335,25549,No,12,3,80,1,8,7,1,1
796,26,Travel_Rarely,1146,Sales,8,Male,38,2,Sales Executive,Single,5326,3064,No,17,3,80,0,4,3,1,2
797,34,Travel_Rarely,182,Research & Development,1,Female,72,1,Research Scientist,Single,3280,13551,No,16,3,80,0,4,2,1,3
799,54,Travel_Rarely,376,Research & Development,19,Female,95,2,Marketing Director,Divorced,5485,22670,Yes,11,3,80,2,5,3,1,4
800,27,Travel_Frequently,829,Sales,8,Male,84,2,Sales Executive,Married,4342,24008,No,19,3,80,1,4,2,1,1
802,37,Travel_Rarely,571,Research & Development,10,Female,82,1,Research Scientist,Divorced,2782,19905,Yes,13,3,80,2,5,3,4,3
803,38,Travel_Frequently,240,Research & Development,2,Female,75,2,Marketing Director,Single,5980,26085,Yes,12,3,80,0,15,7,4,12
804,34,Travel_Rarely,121,Research & Development,2,Female,86,1,Research Scientist,Single,4381,7530,No,11,3,80,0,6,5,1,3
805,35,Travel_Rarely,384,Sales,8,Female,72,1,Sales Representative,Married,2572,20317,No,16,3,80,1,3,2,0,2
806,30,Travel_Rarely,921,Research & Development,1,Male,38,1,Technician,Married,3833,24375,No,21,4,80,2,2,2,0,2
807,40,Travel_Frequently,791,Research & Development,2,Female,38,2,Brand Representative,Married,4244,9931,No,24,4,80,1,8,7,3,7
808,34,Travel_Rarely,1111,Sales,8,Female,93,2,Sales Executive,Married,6500,13305,No,17,3,80,1,3,2,1,2
809,42,Travel_Frequently,570,Research & Development,8,Male,66,5,Manager,Divorced,18430,16225,No,13,3,80,1,24,7,14,9
811,23,Travel_Rarely,1243,Research & Development,6,Male,63,1,Technician,Married,1601,3445,Yes,21,4,80,2,0,0,0,0
812,24,Non-Travel,1092,Research & Development,9,Male,60,1,Technician,Divorced,2694,26551,No,11,3,80,3,1,0,0,0
813,52,Travel_Rarely,1325,Research & Development,11,Female,82,2,Technician,Married,3149,21821,No,20,4,80,1,5,2,1,4
815,50,Travel_Rarely,691,Research & Development,2,Male,64,4,Research Director,Married,17639,6881,No,16,3,80,0,4,3,0,3
816,29,Travel_Rarely,805,Research & Development,1,Female,36,1,Technician,Married,2319,6689,Yes,11,3,80,1,1,0,0,0
817,33,Travel_Rarely,213,Research & Development,7,Male,49,3,Research Director,Married,11691,25995,No,11,3,80,0,13,9,3,7
819,33,Travel_Rarely,118,Sales,16,Female,69,2,Sales Executive,Single,5324,26507,No,15,3,80,0,3,2,0,2
820,47,Travel_Rarely,202,Research & Development,2,Female,33,4,Manager,Married,16752,12982,Yes,11,3,80,1,26,14,3,0
823,36,Travel_Rarely,676,Research & Development,1,Female,35,2,Marketing Director,Married,5228,23361,No,15,3,80,1,9,7,0,5
824,29,Travel_Rarely,1252,Research & Development,23,Male,81,1,Research Scientist,Married,2700,23779,No,24,4,80,1,10,7,0,7
825,58,Travel_Rarely,286,Research & Development,2,Male,31,5,Research Director,Single,19246,25761,Yes,12,3,80,0,31,15,13,8
826,35,Travel_Rarely,1258,Research & Development,1,Female,40,1,Research Scientist,Single,2506,13301,No,13,3,80,0,2,2,2,2
827,42,Travel_Rarely,932,Research & Development,1,Female,43,2,Marketing Director,Married,6062,4051,Yes,13,3,80,1,4,3,0,2
828,28,Travel_Rarely,890,Research & Development,2,Male,46,1,Research Scientist,Single,4382,16374,No,17,3,80,0,2,2,2,1
829,36,Travel_Rarely,1041,Human Resources,13,Male,36,1,Human Resources,Married,2143,25527,No,13,3,80,1,5,2,0,4
830,32,Travel_Rarely,859,Research & Development,4,Female,98,2,Marketing Director,Married,6162,19124,No,12,3,80,1,14,13,6,8
832,40,Travel_Frequently,720,Research & Development,16,Male,51,2,Technician,Single,5094,11983,No,14,3,80,0,1,0,0,0
833,30,Travel_Rarely,946,Research & Development,2,Female,52,2,Marketing Director,Single,6877,20234,Yes,24,4,80,0,0,0,0,0
834,45,Travel_Rarely,252,Research & Development,2,Female,95,1,Research Scientist,Single,2274,6153,No,14,3,80,0,1,0,0,0
836,42,Travel_Rarely,933,Research & Development,29,Male,98,2,Marketing Director,Married,4434,11806,No,13,3,80,1,9,8,7,8
837,38,Travel_Frequently,471,Research & Development,12,Male,45,2,Brand Representative,Divorced,6288,4284,No,15,3,80,1,4,3,1,2
838,34,Travel_Frequently,702,Research & Development,16,Female,100,1,Research Scientist,Single,2553,8306,No,16,3,80,0,5,2,1,3
840,49,Travel_Rarely,1184,Sales,11,Female,43,3,Sales Executive,Married,7654,5860,No,18,3,80,2,9,8,7,7
842,55,Travel_Rarely,436,Sales,2,Male,37,2,Sales Executive,Single,5160,21519,No,16,3,80,0,9,7,7,3
843,43,Travel_Rarely,589,Research & Development,14,Male,94,4,Research Director,Married,17159,5200,No,24,4,80,1,4,1,1,0
844,27,Travel_Rarely,269,Research & Development,5,Male,42,3,Research Director,Divorced,12808,8842,Yes,16,3,80,1,9,8,0,8
845,35,Travel_Rarely,950,Research & Development,7,Male,59,3,Marketing Director,Single,10221,18869,No,21,4,80,0,8,5,1,6
846,28,Travel_Rarely,760,Sales,2,Female,81,2,Sales Executive,Married,4779,3698,Yes,20,4,80,0,8,7,7,5
847,34,Travel_Rarely,829,Human Resources,3,Male,88,1,Human Resources,Married,3737,2243,No,19,3,80,1,3,2,0,2
848,26,Travel_Frequently,887,Research & Development,5,Female,88,1,Research Scientist,Married,2366,20898,Yes,14,3,80,1,8,7,1,7
850,27,Non-Travel,443,Research & Development,3,Male,50,1,Research Scientist,Married,1706,16571,No,11,3,80,3,0,0,0,0
851,51,Travel_Rarely,1318,Sales,26,Female,66,4,Manager,Married,16307,5594,No,14,3,80,1,20,6,4,17
852,44,Travel_Rarely,625,Research & Development,4,Male,50,2,Brand Representative,Single,5933,5197,No,12,3,80,0,5,2,2,3
854,25,Travel_Rarely,180,Research & Development,2,Male,65,1,Research Scientist,Single,3424,21632,No,13,3,80,0,4,3,0,1
855,33,Travel_Rarely,586,Sales,1,Male,48,2,Sales Executive,Divorced,4037,21816,No,22,4,80,1,9,8,0,8
856,35,Travel_Rarely,1343,Research & Development,27,Female,53,1,Research Scientist,Single,2559,17852,No,11,3,80,0,6,5,1,1
857,36,Travel_Rarely,928,Sales,1,Male,56,2,Sales Executive,Married,6201,2823,Yes,14,3,80,1,18,14,4,11
859,32,Travel_Rarely,117,Sales,13,Male,73,2,Sales Executive,Divorced,4403,9250,No,11,3,80,1,5,2,0,3
861,30,Travel_Frequently,1012,Research & Development,5,Male,75,1,Research Scientist,Divorced,3761,2373,No,12,3,80,1,5,4,0,3
862,53,Travel_Rarely,661,Sales,7,Female,78,3,Sales Executive,Married,10934,20715,Yes,18,3,80,1,5,2,0,4
864,45,Travel_Rarely,930,Sales,9,Male,74,3,Sales Executive,Divorced,10761,19239,Yes,12,3,80,1,5,4,0,2
865,32,Travel_Rarely,638,Research & Development,8,Female,91,2,Research Scientist,Married,5175,22162,No,12,3,80,1,5,3,1,3
867,52,Travel_Frequently,890,Research & Development,25,Female,81,4,Marketing Director,Married,13826,19028,No,22,4,80,0,9,8,0,0
868,37,Travel_Rarely,342,Sales,16,Male,66,2,Sales Executive,Divorced,6334,24558,No,19,3,80,2,1,0,0,0
869,28,Travel_Rarely,1169,Human Resources,8,Male,63,1,Human Resources,Divorced,4936,23965,No,13,3,80,1,5,1,0,4
872,22,Travel_Rarely,1230,Research & Development,1,Male,33,2,Marketing Director,Married,4775,19146,No,22,4,80,2,2,2,2,2
874,44,Travel_Rarely,986,Research & Development,8,Male,62,1,Technician,Married,2818,5044,Yes,24,4,80,1,3,2,0,2
875,42,Travel_Frequently,1271,Research & Development,2,Male,35,1,Research Scientist,Single,2515,9068,Yes,14,3,80,0,2,1,2,2
878,36,Travel_Rarely,1278,Human Resources,8,Male,77,1,Human Resources,Married,2342,8635,No,21,4,80,0,5,4,0,3
879,25,Travel_Rarely,141,Sales,3,Male,98,2,Sales Executive,Married,4194,14363,Yes,18,3,80,0,5,3,0,3
880,35,Travel_Rarely,607,Research & Development,9,Female,66,3,Marketing Director,Married,10685,23457,Yes,20,4,80,1,17,14,5,15
881,35,Travel_Frequently,130,Research & Development,25,Female,96,1,Research Scientist,Divorced,2022,16612,Yes,19,3,80,1,10,2,7,8
882,32,Non-Travel,300,Research & Development,1,Male,61,1,Technician,Divorced,2314,9148,No,12,3,80,1,3,0,0,2
885,25,Travel_Rarely,583,Sales,4,Male,87,2,Sales Executive,Married,4256,18154,No,12,3,80,0,5,2,0,3
887,49,Travel_Rarely,1418,Research & Development,1,Female,36,1,Research Scientist,Married,3580,10554,No,16,3,80,1,4,2,0,2
888,24,Non-Travel,1269,Research & Development,4,Male,46,1,Technician,Married,3162,10778,No,17,3,80,0,5,2,3,4
889,32,Travel_Frequently,379,Sales,5,Male,48,2,Sales Executive,Married,6524,8891,No,14,3,80,1,10,8,5,3
893,38,Travel_Rarely,395,Sales,9,Male,98,1,Sales Representative,Married,2899,12102,No,19,3,80,1,2,2,1,2
894,42,Travel_Rarely,1265,Research & Development,3,Female,95,2,Technician,Married,5231,23726,Yes,13,3,80,1,5,3,1,3
895,31,Travel_Rarely,1222,Research & Development,11,Male,48,1,Research Scientist,Married,2356,14871,Yes,19,3,80,1,6,4,0,2
896,29,Travel_Rarely,341,Sales,1,Female,48,1,Sales Representative,Divorced,2800,23522,Yes,19,3,80,3,3,2,0,2
897,53,Travel_Rarely,868,Sales,8,Male,73,4,Sales Executive,Married,11836,22789,No,14,3,80,1,2,0,2,2
899,35,Travel_Rarely,672,Research & Development,25,Male,78,3,Marketing Director,Married,10903,9129,No,16,3,80,0,13,10,4,8
